id,text,label,category
400,มีปัญหาเรื่อง เข้าเว็บไม่ได้ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
401,มีปัญหาเรื่อง ระบบ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
402,ขออนุญาตสอบถามเรื่อง ดรอปเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
403,ตรงสนามหญ้าหน้าคณะมีสภาพ หมาจรจัด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
404,มีปัญหาเรื่อง ไวไฟเข้าไม่ได้ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
405,ขออนุญาตสอบถามเรื่อง ดรอปเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
406,ตรงสนามหญ้าหน้าคณะมีสภาพ ไม่ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
407,มีปัญหาเรื่อง ไวไฟเข้าไม่ได้ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
408,ขออนุญาตสอบถามเรื่อง หน่วยกิต ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
409,แอดมินครับ รถเสีย ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
410,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา ทางมืด ครับ,2,หมวดความปลอดภัยและจราจร
411,แอดมินครับ รอนาน ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
412,แจ้งเรื่องครับ พอดีเจอว่า หลังคารั่ว ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
413,ตรงสนามหญ้าหน้าคณะมีสภาพ เหม็น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
414,ตรงสนามหญ้าหน้าคณะมีสภาพ ขยะล้น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
415,แอดมินครับ ของหาย ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
416,แอดมินครับ ตามหาของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
417,แอดมินครับ รถเสีย ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
418,แอดมินครับ ลืมของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
419,ตรงสนามหญ้าหน้าคณะมีสภาพ ขยะล้น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
420,แจ้งเรื่องครับ พอดีเจอว่า น้ำไม่ไหล ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
421,แอดมินครับ รถเสีย ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
422,แอดมินครับ รถเสีย ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
423,แจ้งเรื่องครับ พอดีเจอว่า ประตูพัง ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
424,แจ้งเรื่องครับ พอดีเจอว่า ไฟดับ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
425,แจ้งเรื่องครับ พอดีเจอว่า ลิฟต์ค้าง ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
426,ตรงสนามหญ้าหน้าคณะมีสภาพ ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
427,แอดมินครับ สอบถามหน่อยครับ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
428,ขออนุญาตสอบถามเรื่อง หน่วยกิต ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
429,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รถชน ครับ,2,หมวดความปลอดภัยและจราจร
430,ขออนุญาตสอบถามเรื่อง ขอสอบชดเชย ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
431,แจ้งเรื่องครับ พอดีเจอว่า ชำรุด ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
432,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา หมวกกันน็อคหาย ครับ,2,หมวดความปลอดภัยและจราจร
433,แอดมินครับ ของหาย ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
434,แอดมินครับ สอบถามหน่อยครับ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
435,ตรงสนามหญ้าหน้าคณะมีสภาพ กิ่งไม้หัก รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
436,แอดมินครับ บัตรนิสิต ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
437,มีปัญหาเรื่อง เน็ตหลุด ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
438,ตรงสนามหญ้าหน้าคณะมีสภาพ กิ่งไม้หัก รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
439,แอดมินครับ รถเมล์ไม่มา ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
440,ตรงสนามหญ้าหน้าคณะมีสภาพ ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
441,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รถชน ครับ,2,หมวดความปลอดภัยและจราจร
442,แจ้งเรื่องครับ พอดีเจอว่า ไฟดับ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
443,แอดมินครับ ทุนการศึกษา ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
444,แอดมินครับ สายรถ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
445,แอดมินครับ ตามหาของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
446,ตรงสนามหญ้าหน้าคณะมีสภาพ ขยะล้น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
447,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา ขโมย ครับ,2,หมวดความปลอดภัยและจราจร
448,ขออนุญาตสอบถามเรื่อง เกรด ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
449,ตรงสนามหญ้าหน้าคณะมีสภาพ ไม่ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
450,ขออนุญาตสอบถามเรื่อง ดรอปเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
451,ขออนุญาตสอบถามเรื่อง หน่วยกิต ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
452,แอดมินครับ ลืมของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
453,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รถชน ครับ,2,หมวดความปลอดภัยและจราจร
454,มีปัญหาเรื่อง เข้าเว็บไม่ได้ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
455,ขออนุญาตสอบถามเรื่อง ดรอปเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
456,แจ้งเรื่องครับ พอดีเจอว่า ลิฟต์ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
457,ตรงสนามหญ้าหน้าคณะมีสภาพ เหม็น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
458,แอดมินครับ ไม่จอดรับ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
459,แจ้งเรื่องครับ พอดีเจอว่า ไฟดับ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
460,แอดมินครับ ตามหาของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
461,ตรงสนามหญ้าหน้าคณะมีสภาพ ถังขยะเต็ม รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
462,แอดมินครับ กิจกรรม ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
463,ตรงสนามหญ้าหน้าคณะมีสภาพ ไม่ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
464,แจ้งเรื่องครับ พอดีเจอว่า ลิฟต์ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
465,ตรงสนามหญ้าหน้าคณะมีสภาพ ไม่ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
466,ขออนุญาตสอบถามเรื่อง อาจารย์ ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
467,แอดมินครับ รถเมล์เสีย ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
468,ขออนุญาตสอบถามเรื่อง ดรอปเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
469,มีปัญหาเรื่อง หลุดบ่อย ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
470,มีปัญหาเรื่อง ลืมรหัสผ่าน ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
471,แอดมินครับ ป้ายรถเมล์ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
472,แจ้งเรื่องครับ พอดีเจอว่า ประตูพัง ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
473,ตรงสนามหญ้าหน้าคณะมีสภาพ หญ้ารก รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
474,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา เปลี่ยว ครับ,2,หมวดความปลอดภัยและจราจร
475,ตรงสนามหญ้าหน้าคณะมีสภาพ เหม็น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
476,แอดมินครับ ลืมของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
477,มีปัญหาเรื่อง ลืมรหัสผ่าน ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
478,มีปัญหาเรื่อง เน็ตหลุด ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
479,ตรงสนามหญ้าหน้าคณะมีสภาพ กิ่งไม้หัก รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
480,แอดมินครับ คิวรถ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
481,แจ้งเรื่องครับ พอดีเจอว่า ไฟดับ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
482,มีปัญหาเรื่อง ระบบ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
483,ขออนุญาตสอบถามเรื่อง เกรด ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
484,มีปัญหาเรื่อง เน็ตช้า ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
485,แจ้งเรื่องครับ พอดีเจอว่า ชำรุด ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
486,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รถชน ครับ,2,หมวดความปลอดภัยและจราจร
487,มีปัญหาเรื่อง ลืมรหัสผ่าน ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
488,แอดมินครับ ของหาย ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
489,ขออนุญาตสอบถามเรื่อง ดรอปเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
490,แอดมินครับ อยากทราบว่า ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
491,แจ้งเรื่องครับ พอดีเจอว่า ลิฟต์ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
492,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา ทางมืด ครับ,2,หมวดความปลอดภัยและจราจร
493,แจ้งเรื่องครับ พอดีเจอว่า แอร์ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
494,ขออนุญาตสอบถามเรื่อง วิชา ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
495,ตรงสนามหญ้าหน้าคณะมีสภาพ ขยะล้น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
496,มีปัญหาเรื่อง ระบบ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
497,แอดมินครับ ขอคำแนะนำ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
498,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา ทางมืด ครับ,2,หมวดความปลอดภัยและจราจร
499,แจ้งเรื่องครับ พอดีเจอว่า พัง ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
500,แอดมินครับ อยากทราบว่า ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
501,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา เปลี่ยว ครับ,2,หมวดความปลอดภัยและจราจร
502,ตรงสนามหญ้าหน้าคณะมีสภาพ ต้นไม้ล้ม รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
503,ตรงสนามหญ้าหน้าคณะมีสภาพ ถังขยะเต็ม รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
504,แจ้งเรื่องครับ พอดีเจอว่า แอร์ไม่เย็น ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
505,ตรงสนามหญ้าหน้าคณะมีสภาพ หมาจรจัด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
506,ตรงสนามหญ้าหน้าคณะมีสภาพ สกปรก รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
507,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา เปลี่ยว ครับ,2,หมวดความปลอดภัยและจราจร
508,แอดมินครับ ลืมของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
509,มีปัญหาเรื่อง ระบบล่ม ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
510,แอดมินครับ รถเมล์เสีย ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
511,ขออนุญาตสอบถามเรื่อง เกรด ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
512,ขออนุญาตสอบถามเรื่อง หน่วยกิต ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
513,ตรงสนามหญ้าหน้าคณะมีสภาพ ถังขยะเต็ม รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
514,แจ้งเรื่องครับ พอดีเจอว่า ลิฟต์ค้าง ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
515,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รปภ. ครับ,2,หมวดความปลอดภัยและจราจร
516,แจ้งเรื่องครับ พอดีเจอว่า ไฟดับ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
517,ขออนุญาตสอบถามเรื่อง เกรด ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
518,ขออนุญาตสอบถามเรื่อง ตารางเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
519,แจ้งเรื่องครับ พอดีเจอว่า แอร์ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
520,ตรงสนามหญ้าหน้าคณะมีสภาพ ไม่ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
521,แอดมินครับ อยากทราบว่า ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
522,มีปัญหาเรื่อง ลืมรหัสผ่าน ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
523,แอดมินครับ ลืมของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
524,แอดมินครับ ตามหาของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
525,แอดมินครับ ไม่จอดรับ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
526,แอดมินครับ อยากทราบว่า ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
527,ขออนุญาตสอบถามเรื่อง วิชา ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
528,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รถติด ครับ,2,หมวดความปลอดภัยและจราจร
529,แอดมินครับ ไม่จอดรับ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
530,แจ้งเรื่องครับ พอดีเจอว่า น้ำไม่ไหล ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
531,ขออนุญาตสอบถามเรื่อง ตารางเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
532,แจ้งเรื่องครับ พอดีเจอว่า ชำรุด ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
533,แอดมินครับ รอรถ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
534,ขออนุญาตสอบถามเรื่อง ติดต่ออาจารย์ ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
535,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา จอดรถขวาง ครับ,2,หมวดความปลอดภัยและจราจร
536,ตรงสนามหญ้าหน้าคณะมีสภาพ สกปรก รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
537,แอดมินครับ สอบถามหน่อยครับ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
538,แอดมินครับ ลืมของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
539,แจ้งเรื่องครับ พอดีเจอว่า ลิฟต์ค้าง ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
540,แอดมินครับ รถเมล์สาย ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
541,มีปัญหาเรื่อง ลงทะเบียนไม่ได้ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
542,ตรงสนามหญ้าหน้าคณะมีสภาพ ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
543,ตรงสนามหญ้าหน้าคณะมีสภาพ ต้นไม้ล้ม รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
544,ขออนุญาตสอบถามเรื่อง ติดต่ออาจารย์ ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
545,มีปัญหาเรื่อง เน็ตหลุด ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
546,แอดมินครับ หมวกกันน็อกหาย ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
547,แอดมินครับ รถเต็ม ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
548,แอดมินครับ ตามหาของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
549,มีปัญหาเรื่อง เน็ตหลุด ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
550,มีปัญหาเรื่อง ระบบล่ม ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
551,ตรงสนามหญ้าหน้าคณะมีสภาพ ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
552,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา เปลี่ยว ครับ,2,หมวดความปลอดภัยและจราจร
553,มีปัญหาเรื่อง ระบบล่ม ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
554,แจ้งเรื่องครับ พอดีเจอว่า ชำรุด ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
555,ขออนุญาตสอบถามเรื่อง หน่วยกิต ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
556,ตรงสนามหญ้าหน้าคณะมีสภาพ ขยะล้น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
557,มีปัญหาเรื่อง เข้าเว็บไม่ได้ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
558,แอดมินครับ รถมอ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
559,แอดมินครับ ขอคำแนะนำ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
560,ขออนุญาตสอบถามเรื่อง ตารางเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
561,แอดมินครับ ตารางรถ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
562,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา ทางมืด ครับ,2,หมวดความปลอดภัยและจราจร
563,มีปัญหาเรื่อง ลืมรหัสผ่าน ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
564,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา หมวกกันน็อคหาย ครับ,2,หมวดความปลอดภัยและจราจร
565,แอดมินครับ ตามหาของ ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
566,แจ้งเรื่องครับ พอดีเจอว่า หลังคารั่ว ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
567,ตรงสนามหญ้าหน้าคณะมีสภาพ ไม่ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
568,มีปัญหาเรื่อง ลืมรหัสผ่าน ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
569,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา หมวกกันน็อคหาย ครับ,2,หมวดความปลอดภัยและจราจร
570,แอดมินครับ กิจกรรม ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
571,แอดมินครับ รถเมล์ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
572,มีปัญหาเรื่อง ลงทะเบียนไม่ได้ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
573,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รถติด ครับ,2,หมวดความปลอดภัยและจราจร
574,แอดมินครับ รถมอ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
575,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา จอดรถขวาง ครับ,2,หมวดความปลอดภัยและจราจร
576,ตรงสนามหญ้าหน้าคณะมีสภาพ ขยะล้น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
577,ขออนุญาตสอบถามเรื่อง วันสอบ ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
578,ขออนุญาตสอบถามเรื่อง ดรอปเรียน ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
579,แจ้งเรื่องครับ พอดีเจอว่า พัง ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
580,ขออนุญาตสอบถามเรื่อง อาจารย์ ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
581,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รถชน ครับ,2,หมวดความปลอดภัยและจราจร
582,แอดมินครับ รถเมล์สาย ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
583,แจ้งเรื่องครับ พอดีเจอว่า แอร์ไม่เย็น ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
584,แอดมินครับ รอรถ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
585,แอดมินครับ รถเมล์เสีย ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
586,มีปัญหาเรื่อง เน็ตหลุด ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
587,แอดมินครับ ป้ายรถเมล์ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
588,ตรงสนามหญ้าหน้าคณะมีสภาพ หญ้ารก รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
589,แอดมินครับ บัตรนิสิต ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
590,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา เปลี่ยว ครับ,2,หมวดความปลอดภัยและจราจร
591,ขออนุญาตสอบถามเรื่อง อาจารย์ ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
592,แจ้งเรื่องครับ พอดีเจอว่า แอร์ไม่เย็น ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
593,ขออนุญาตสอบถามเรื่อง ขอสอบชดเชย ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
594,แจ้งเรื่องครับ พอดีเจอว่า ชำรุด ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
595,แอดมินครับ บัตรนิสิต ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
596,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา ไม่มีไฟกิ่ง ครับ,2,หมวดความปลอดภัยและจราจร
597,แจ้งเรื่องครับ พอดีเจอว่า หลังคารั่ว ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
598,แอดมินครับ ของหาย ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
599,มีปัญหาเรื่อง ไวไฟเข้าไม่ได้ ครับ ช่วยแก้ไขให้หน่อย,6,หมวดเทคโนโลยีสารสนเทศ
600,ขออนุญาตสอบถามเรื่อง ติดต่ออาจารย์ ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
601,แอดมินครับ รถติด ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
602,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รปภ. ครับ,2,หมวดความปลอดภัยและจราจร
