text_a,text_b,score,label_type
สายชำระและก๊อกน้ำห้องน้ำชั้น 5 ตึก CE แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 5 อาคารเรียนรวม CE,0.935,DUPLICATE
รถเมล์มอสาย 2 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร หอพักลุมพินี มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0457,DIFFERENT
ลิฟต์โดยสาร คณะนิติศาสตร์ ค้างที่ชั้น 4 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ตึกนิติศาสตร์ เสีย ติดค้างอยู่ที่ชั้น 4 กดปุ่มเปิดไม่ไป,0.9782,DUPLICATE
ก๊อกน้ำและท่อประปาที่ ตึก PKY ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0432,DIFFERENT
โปรเจกเตอร์ห้อง 2401 คณะศิลปศาสตร์ เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 2401 ตึกศิลปศาสตร์ พัง จอภาพมืดสนิท,0.9282,DUPLICATE
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ ตึก PKY,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ อาคารสงวนเสริมศรี สกปรกมาก ไม่ถูกสุขอนามัย,0.9929,DUPLICATE
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ คณะเภสัชศาสตร์,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ตึกเภสัช สกปรกมาก ไม่ถูกสุขอนามัย,0.964,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะแพทยศาสตร์,0.0,DIFFERENT
ถังขยะหน้า คณะศิลปศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกศิลปศาสตร์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9544,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง โรงอาหารสงวนเสริมศรี,หมาจรจัดตรง โรงอาหาร PKY ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9604,DUPLICATE
สัญญาณเน็ต UP-WiFi โรงอาหารสงวนเสริมศรี หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง โรงอาหารสงวนเสริมศรี,0.0465,DIFFERENT
ไฟในห้องน้ำหญิง คณะเกษตรศาสตร์ ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ตึกเกษตร ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9543,DUPLICATE
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ หอพักลุมพินี,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ หอพักใน มพ. สกปรกมาก ไม่ถูกสุขอนามัย,0.9991,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง โรงอาหารสงวนเสริมศรี,หมาจรจัดตรง โรงอาหาร PKY ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9547,DUPLICATE
แอร์ห้อง 1203 คณะเกษตรศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย ร้อนมาก,เครื่องปรับอากาศห้อง 1203 ตึกเกษตร น้ำหยดลงพื้น แอร์ไม่ฉ่ำเลย นั่งเรียนไม่ได้,0.9524,DUPLICATE
ลิฟต์โดยสาร หอพักลุมพินี ค้างที่ชั้น 3 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ หอพักใน มพ. เสีย ติดค้างอยู่ที่ชั้น 3 กดปุ่มเปิดไม่ไป,0.9299,DUPLICATE
ก๊อกน้ำและท่อประปาที่ คณะศิลปศาสตร์ ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0719,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi กองพัฒนานิสิต DSA หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ ตึกกิจกรรมนิสิต DSA ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9656,DUPLICATE
ไฟในห้องน้ำหญิง หอพักลุมพินี ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง หอพักใน มพ. ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9881,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ป้ายรถเมล์หน้า ม.,0.0214,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร โรงอาหารกลาง ค้างที่ชั้น 6 ใช้งานไม่ได้,0.03,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร คณะเกษตรศาสตร์ ค้างที่ชั้น 7 ใช้งานไม่ได้,0.0354,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร ตึก EN ค้างที่ชั้น 3 ใช้งานไม่ได้,0.018,DIFFERENT
รถเมล์มอสาย 2 (สีเขียว) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย ป้ายหอพักใน,รอรถบัส มพ. สาย 2 (สีเขียว) ที่ ป้ายรอรถหอใน มพ. นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9561,DUPLICATE
รถเมล์มอสาย 2 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร คณะพยาบาลศาสตร์ มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0303,DIFFERENT
ถังขยะหน้า กองพัฒนานิสิต DSA ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกกิจกรรมนิสิต DSA เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9573,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง ทางเดิน Skywalk,หมาจรจัดตรง สะพานสกายวอล์ค ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9765,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง คณะเภสัชศาสตร์ รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกเภสัช รถผ่านไม่ได้ การจราจรติดขัด,0.9616,DUPLICATE
หลอดไฟทางเดินหน้า คณะแพทยศาสตร์ ดับสนิท มืดมาก,ถังขยะหน้า คณะแพทยศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0899,DIFFERENT
เครื่องปรับอากาศห้อง 1103 กองพัฒนานิสิต DSA เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3202 กองพัฒนานิสิต DSA เสีย ไม่เย็น,0.146,DIFFERENT
รถเมล์มอสาย 3 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ตึก EN มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.046,DIFFERENT
โปรเจกเตอร์ห้อง 3403 โรงอาหารกลาง เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 3403 โรงอาหารใหญ่ พัง จอภาพมืดสนิท,0.9212,DUPLICATE
เครื่องปรับอากาศห้อง 1104 กองพัฒนานิสิต DSA เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3402 กองพัฒนานิสิต DSA เสีย ไม่เย็น,0.1626,DIFFERENT
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ คณะวิทยาศาสตร์,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ตึกวิทย์ สกปรกมาก ไม่ถูกสุขอนามัย,0.9621,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง คณะพยาบาลศาสตร์ รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกพยาบาล รถผ่านไม่ได้ การจราจรติดขัด,0.9228,DUPLICATE
สายชำระและก๊อกน้ำห้องน้ำชั้น 6 ตึก CE แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 6 อาคารเรียนรวม CE,0.9342,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9275,DUPLICATE
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร ตึก CE ค้างที่ชั้น 4 ใช้งานไม่ได้,0.0269,DIFFERENT
หลอดไฟทางเดินหน้า ประตู 1 ม.พะเยา ดับสนิท มืดมาก,ถังขยะหน้า ประตู 1 ม.พะเยา ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0628,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi หอพักลุมพินี หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ หอพักใน มพ. ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9795,DUPLICATE
แอร์ห้อง 1301 ตึก ICT มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 3 ตึก ICT แตก น้ำนองพื้น,0.0466,DIFFERENT
ถังขยะหน้า คณะนิติศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกนิติศาสตร์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9539,DUPLICATE
หลอดไฟทางเดินหน้า คณะเภสัชศาสตร์ ดับสนิท มืดมาก,ถังขยะหน้า คณะเภสัชศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0724,DIFFERENT
ไฟในห้องน้ำหญิง คณะศิลปศาสตร์ ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ตึกศิลปศาสตร์ ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9308,DUPLICATE
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด คณะวิทยาศาสตร์,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ตึกวิทย์,0.9578,DUPLICATE
หลอดไฟทางเดินหน้า คณะศิลปศาสตร์ ดับสนิท มืดมาก,ถังขยะหน้า คณะศิลปศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0988,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะเภสัชศาสตร์,0.0,DIFFERENT
แอร์ห้อง 3103 คณะเกษตรศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย ร้อนมาก,เครื่องปรับอากาศห้อง 3103 ตึกเกษตร น้ำหยดลงพื้น แอร์ไม่ฉ่ำเลย นั่งเรียนไม่ได้,0.9646,DUPLICATE
สัญญาณเน็ต UP-WiFi ตึก PKY หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ตึก PKY,0.0434,DIFFERENT
ไฟในห้องน้ำหญิง ป้ายรถเมล์หน้า ม. ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9889,DUPLICATE
หลอดไฟทางเดินหน้า ตึก CE ดับสนิท มืดมาก,ถังขยะหน้า ตึก CE ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.1036,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร คณะเภสัชศาสตร์ ค้างที่ชั้น 1 ใช้งานไม่ได้,0.0156,DIFFERENT
ก๊อกน้ำและท่อประปาที่ ทางเดิน Skywalk ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0886,DIFFERENT
แอร์ห้อง 3103 หอพักลุมพินี มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 7 หอพักลุมพินี แตก น้ำนองพื้น,0.0476,DIFFERENT
ถังขยะหน้า หอพักลุมพินี ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ หอพักใน มพ. เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9399,DUPLICATE
เครื่องปรับอากาศห้อง 1304 คณะพยาบาลศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3203 คณะพยาบาลศาสตร์ เสีย ไม่เย็น,0.1612,DIFFERENT
สัญญาณเน็ต UP-WiFi โรงอาหารสงวนเสริมศรี หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง โรงอาหารสงวนเสริมศรี,0.0511,DIFFERENT
รถเมล์มอสาย 4 (สีน้ำเงิน) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย กองพัฒนานิสิต DSA,รอรถบัส มพ. สาย 4 (สีน้ำเงิน) ที่ ตึกกิจกรรมนิสิต DSA นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9572,DUPLICATE
รถเมล์มอสาย 4 (สีน้ำเงิน) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย ตึก PKY,รอรถบัส มพ. สาย 4 (สีน้ำเงิน) ที่ อาคารสงวนเสริมศรี นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9359,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะนิติศาสตร์,0.008,DIFFERENT
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด กองพัฒนานิสิต DSA,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ตึกกิจกรรมนิสิต DSA,0.9357,DUPLICATE
เครื่องปรับอากาศห้อง 1101 ตึก CE เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3304 ตึก CE เสีย ไม่เย็น,0.1639,DIFFERENT
หลอดไฟทางเดินหน้า ประตู 1 ม.พะเยา ดับสนิท มืดมาก,ถังขยะหน้า ประตู 1 ม.พะเยา ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0982,DIFFERENT
เครื่องปรับอากาศห้อง 1204 ตึก PKY เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3301 ตึก PKY เสีย ไม่เย็น,0.1301,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 2 คณะเภสัชศาสตร์ แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 2 ตึกเภสัช,0.9771,DUPLICATE
แอร์ห้อง 4102 คณะแพทยศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 3 คณะแพทยศาสตร์ แตก น้ำนองพื้น,0.0672,DIFFERENT
ไฟในห้องน้ำหญิง ตึก PKY ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง อาคารสงวนเสริมศรี ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9702,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง โรงอาหารกลาง,หมาจรจัดตรง โรงอาหารใหญ่ ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9426,DUPLICATE
เครื่องปรับอากาศห้อง 1201 ตึก PKY เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3104 ตึก PKY เสีย ไม่เย็น,0.1495,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร ตึก CE ค้างที่ชั้น 2 ใช้งานไม่ได้,0.0,DIFFERENT
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ ป้ายรถเมล์หน้า ม.,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา สกปรกมาก ไม่ถูกสุขอนามัย,0.9822,DUPLICATE
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ กองพัฒนานิสิต DSA,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ตึกกิจกรรมนิสิต DSA สกปรกมาก ไม่ถูกสุขอนามัย,0.9431,DUPLICATE
สัญญาณเน็ต UP-WiFi ทางเดิน Skywalk หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ทางเดิน Skywalk,0.0585,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะแพทยศาสตร์,0.0224,DIFFERENT
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ ประตู 1 ม.พะเยา,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ประตูหน้ามอ สกปรกมาก ไม่ถูกสุขอนามัย,0.9657,DUPLICATE
แอร์ห้อง 2204 คณะแพทยศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 7 คณะแพทยศาสตร์ แตก น้ำนองพื้น,0.0586,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 1 กองพัฒนานิสิต DSA แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 1 ตึกกิจกรรมนิสิต DSA,0.9576,DUPLICATE
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ คณะนิติศาสตร์,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ตึกนิติศาสตร์ สกปรกมาก ไม่ถูกสุขอนามัย,0.9555,DUPLICATE
สัญญาณอินเทอร์เน็ต UP-WiFi ป้ายหอพักใน หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ ป้ายรอรถหอใน มพ. ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9603,DUPLICATE
รถเมล์มอสาย 3 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ป้ายหอพักใน มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.035,DIFFERENT
ถังขยะหน้า โรงอาหารกลาง ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ โรงอาหารใหญ่ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.965,DUPLICATE
รถเมล์มอสาย 2 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ตึก CE มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0382,DIFFERENT
รถเมล์มอสาย 2 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ป้ายรถเมล์หน้า ม. มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0284,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi ทางเดิน Skywalk หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ สะพานสกายวอล์ค ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9409,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง โรงอาหารสงวนเสริมศรี รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ โรงอาหาร PKY รถผ่านไม่ได้ การจราจรติดขัด,0.9716,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง ตึก ICT,หมาจรจัดตรง อาคารเทคโนโลยีสารสนเทศและการสื่อสาร ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9238,DUPLICATE
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร โรงอาหารกลาง ค้างที่ชั้น 1 ใช้งานไม่ได้,0.0272,DIFFERENT
สัญญาณเน็ต UP-WiFi ประตู 1 ม.พะเยา หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ประตู 1 ม.พะเยา,0.0461,DIFFERENT
แอร์ห้อง 2404 ประตู 1 ม.พะเยา มีน้ำรั่วหยดและไม่เย็นเลย ร้อนมาก,เครื่องปรับอากาศห้อง 2404 ประตูหน้ามอ น้ำหยดลงพื้น แอร์ไม่ฉ่ำเลย นั่งเรียนไม่ได้,0.9765,DUPLICATE
ลิฟต์โดยสาร คณะนิติศาสตร์ ค้างที่ชั้น 6 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ตึกนิติศาสตร์ เสีย ติดค้างอยู่ที่ชั้น 6 กดปุ่มเปิดไม่ไป,0.9782,DUPLICATE
รถเมล์มอสาย 3 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร โรงอาหารกลาง มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0304,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 5 กองพัฒนานิสิต DSA แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 5 ตึกกิจกรรมนิสิต DSA,0.935,DUPLICATE
แอร์ห้อง 1103 ป้ายหอพักใน มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 1 ป้ายหอพักใน แตก น้ำนองพื้น,0.068,DIFFERENT
ถังขยะหน้า คณะพยาบาลศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกพยาบาล เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9706,DUPLICATE
รถเมล์มอสาย 2 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ตึก PKY มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0333,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ป้ายรถเมล์หน้า ม.,0.0092,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi คณะพยาบาลศาสตร์ หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ ตึกพยาบาล ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9827,DUPLICATE
ลิฟต์โดยสาร โรงอาหารสงวนเสริมศรี ค้างที่ชั้น 4 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ โรงอาหาร PKY เสีย ติดค้างอยู่ที่ชั้น 4 กดปุ่มเปิดไม่ไป,0.9254,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9384,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง ประตู 1 ม.พะเยา,หมาจรจัดตรง ประตูหน้ามอ ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9756,DUPLICATE
เครื่องปรับอากาศห้อง 1101 ตึก PKY เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3202 ตึก PKY เสีย ไม่เย็น,0.163,DIFFERENT
เครื่องปรับอากาศห้อง 1303 คณะแพทยศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3201 คณะแพทยศาสตร์ เสีย ไม่เย็น,0.1427,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร โรงอาหารสงวนเสริมศรี ค้างที่ชั้น 5 ใช้งานไม่ได้,0.0,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi ตึก PKY หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ อาคารสงวนเสริมศรี ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9365,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9557,DUPLICATE
สายชำระและก๊อกน้ำห้องน้ำชั้น 2 ป้ายหอพักใน แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 2 ป้ายรอรถหอใน มพ.,0.947,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ โรงอาหารกลาง,0.0,DIFFERENT
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง ตึก EN รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ อาคารคณะวิศวกรรมศาสตร์ รถผ่านไม่ได้ การจราจรติดขัด,0.9564,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9527,DUPLICATE
