pair_id,sentence1,sentence2,is_duplicate,similarity_score,category
283,ช่วยประสานงานทีครับ หลอดไฟในห้องเรียน 1201 ตึกคณะนิติศาสตร์ ขาด มืดมาก เดือดร้อนมากค่ะ ขอบคุณค่ะ,ไฟเพดานห้อง 1201 ตึกนิติ ดับ มองกระดานไม่เห็น ช่วยตรวจสอบทีครับ,1,0.87,หมวดอาคารและสิ่งอำนวยความสะดวก
284,ขอร้องเรียนค่ะ ขอเปิดเซคชั่นเพิ่มวิชาศึกษาทั่วไป นิสิตยังลงไม่ครบ ช่วยตรวจสอบทีครับ,ช่วยตรวจสอบหน่อยครับ วิชาบังคับเซคเต็มทุกเซค ขอเปิดเพิ่มอีกเซคได้ไหมครับ ขอบคุณครับ,1,0.93,หมวดการเรียนการสอนและวิชาการ
285,แจ้งเรื่องครับ: ขอใบรับรองสถานภาพนิสิตภาษาอังกฤษ ใช้เวลากี่วันได้ ปล่อยไว้นานแล้ว,แจ้งเรื่องครับ: ยื่นขอหนังสือรับรองการเป็นนิสิตผ่านช่องทางออนไลน์ยังไง ขอบคุณครับ,1,0.9,หมวดบริการทั่วไป / อื่นๆ
286,นิสิตเดือดร้อนมากค่ะ ระบบลงทะเบียนเรียน Reg ล่ม เข้าสู่ระบบไม่ได้ตั้งแต่เช้า ขอบคุณครับ,ขอร้องเรียนค่ะ แอปพลิเคชัน UP Pass เข้าไม่ได้ ขึ้น error ตลอดเวลา รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.28,หมวดเทคโนโลยีสารสนเทศ (ต่างประเด็น)
287,รบกวนเจ้าหน้าที่ครับ มีซากสัตว์ตายส่งกลิ่นเหม็นเน่าที่ หอพักนิสิต UP DORM เป็นแบบนี้มาหลายวันแล้วครับ,ขอร้องเรียนค่ะ พบซากนกตายบริเวณ หอใน เริ่มส่งกลิ่น ช่วยส่งแม่บ้านมาเก็บที ช่วยตรวจสอบทีครับ,1,0.85,หมวดภูมิทัศน์และความสะอาด
288,ตารางสอบปลายภาคชนกันในวันเดียวกันสองวิชา ปล่อยไว้นานแล้ว,นิสิตเดือดร้อนมากค่ะ วันสอบปลายภาคเวลาตรงกันสองรายวิชา ขอสอบชดเชยได้ไหม เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.91,หมวดการเรียนการสอนและวิชาการ
289,ป้ายรถเมล์บริเวณ ตึก ICT ไม่มีหลังคาบังแดดบังฝน รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ขอร้องเรียนค่ะ ตึก PKY ห้อง PKY01 ปลั๊กไฟระเบิด เสียบชาร์จไม่ได้ ช่วยตรวจสอบทีครับ,0,0.07,ต่างหมวดหมู่
290,รบกวนเจ้าหน้าที่ครับ มีซากสัตว์ตายส่งกลิ่นเหม็นเน่าที่ ตึกสงวนเสริมศรี เป็นแบบนี้มาหลายวันแล้วครับ,รบกวนเจ้าหน้าที่ครับ ตึกคณะนิติศาสตร์ ห้องน้ำสกปรก พื้นแฉะและส่งกลิ่นเหม็น เป็นแบบนี้มาหลายวันแล้วครับ,0,0.2,หมวดภูมิทัศน์และความสะอาด (ต่างประเด็น)
291,ด่วนมาก! อินเทอร์เน็ตที่ หอพักนิสิต UP DORM ใช้งานไม่ได้เลย สัญญาณกากบาท เดือดร้อนมากค่ะ ขอบคุณค่ะ,เน็ตตึก หอใน ดับทั้งตึก เชื่อมต่อสัญญาณไม่ได้ เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.95,หมวดเทคโนโลยีสารสนเทศ
292,แจ้งเรื่องครับ: รถเมล์ มพ. ไม่จอดรับนิสิตที่ป้าย ตึกคณะนิติศาสตร์ ปล่อยไว้นานแล้ว,รบกวนเจ้าหน้าที่ครับ ป้าย อาคารเรียนนิติศาสตร์ รถเมล์มอขับเลยไป ไม่ยอมจอดรับผู้โดยสาร,1,0.93,หมวดการเดินทางและระบบขนส่ง
293,รบกวนเจ้าหน้าที่ครับ ระบบบันทึกเกรดมีปัญหา เกรดยังไม่ออกสักวิชา รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,นิสิตเดือดร้อนมากค่ะ ประกาศเกรดยังไม่ขึ้นในระบบเลยครับ ติดต่อฝ่ายทะเบียนไม่ได้ ขอบคุณครับ,1,0.97,หมวดการเรียนการสอนและวิชาการ
294,แจ้งเรื่องครับ: ระบบบันทึกเกรดมีปัญหา เกรดยังไม่ออกสักวิชา ปล่อยไว้นานแล้ว,ช่วยประสานงานทีครับ ประกาศเกรดยังไม่ขึ้นในระบบเลยครับ ติดต่อฝ่ายทะเบียนไม่ได้ ขอบคุณครับ,1,0.96,หมวดการเรียนการสอนและวิชาการ
295,นิสิตเดือดร้อนมากค่ะ หมวกกันน็อคหายที่ลานจอดรถ ตึก CE,รบกวนเจ้าหน้าที่ครับ จอดมอเตอร์ไซค์ไว้ที่ ตึก CE หมวกกันน็อคโดนขโมยไปครับ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.81,หมวดความปลอดภัยและจราจร
296,ด่วนมาก! กิ่งไม้ขนาดใหญ่หักหล่นขวางถนนตรง ตึก ICT ขอบคุณครับ,ช่วยตรวจสอบหน่อยครับ มีต้นไม้ล้มทับทางเดินข้าง ตึกเทคโนโลยีสารสนเทศและการสื่อสาร สัญจรลำบากมาก,1,0.92,หมวดภูมิทัศน์และความสะอาด
297,ช่วยประสานงานทีครับ คนขับรถเมล์ มพ. สาย 1 ขับเร็วและหวาดเสียวมาก เดือดร้อนมากค่ะ ขอบคุณค่ะ,ช่วยตรวจสอบหน่อยครับ ไฟเพดานห้อง 1305 ตึก PKY ดับ มองกระดานไม่เห็น รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.04,ต่างหมวดหมู่
298,แอดมินครับ พบสุนัขจรจัดดุวิ่งไล่กวดนิสิตบริเวณ ตึก PKY รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,นิสิตเดือดร้อนมากค่ะ กล้อง CCTV ตรง ตึก ICT ใช้งานไม่ได้ อยากขอเปิดดูของหาย เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.28,หมวดความปลอดภัยและจราจร (ต่างประเด็น)
299,แจ้งเรื่องครับ: ขอเปิดเซคชั่นเพิ่มวิชาศึกษาทั่วไป นิสิตยังลงไม่ครบ ปล่อยไว้นานแล้ว,รบกวนเจ้าหน้าที่ครับ วิชาบังคับเซคเต็มทุกเซค ขอเปิดเพิ่มอีกเซคได้ไหมครับ เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.9,หมวดการเรียนการสอนและวิชาการ
300,หญ้าขึ้นสูงรกมากข้างทางเดินไป ตึก CE กลัวงู รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ช่วยประสานงานทีครับ รถเมล์มอสาย 2 ขับปาดซ้ายปาดขวา เบรกแรง กลัวอันตราย เป็นแบบนี้มาหลายวันแล้วครับ,0,0.06,ต่างหมวดหมู่
301,แจ้งเรื่องครับ: อินเทอร์เน็ตที่ หอสมุด ใช้งานไม่ได้เลย สัญญาณกากบาท เดือดร้อนมากค่ะ ขอบคุณค่ะ,รบกวนเจ้าหน้าที่ครับ เว็บ reg.up.ac.th ล่ม กดเลือกวิชาไม่ได้เลยครับ เป็นแบบนี้มาหลายวันแล้วครับ,0,0.39,หมวดเทคโนโลยีสารสนเทศ (ต่างประเด็น)
302,บัตรนิสิตหาย ต้องการทำบัตรใหม่ต้องเตรียมอะไรบ้าง เป็นแบบนี้มาหลายวันแล้วครับ,แจ้งเรื่องครับ: ห้อง CE07 ตึก PKY แอร์พัง มีแต่ลมร้อน นั่งเรียนไม่ได้ ช่วยตรวจสอบทีครับ,0,0.04,ต่างหมวดหมู่
303,แอดมินครับ เกิดอุบัติเหตุรถเฉี่ยวชนกันตรงทางแยก ตึกวิทย์,ขอร้องเรียนค่ะ รถมอเตอร์ไซค์ชนกันบริเวณ อาคารคณะวิทย์ มีผู้ได้รับบาดเจ็บ ปล่อยไว้นานแล้ว,1,0.96,หมวดความปลอดภัยและจราจร
304,ช่วยตรวจสอบหน่อยครับ ถังขยะบริเวณ ลานจอดรถหน้ามอ ล้น ส่งกลิ่นเหม็นรบกวน ขอบคุณครับ,ขอร้องเรียนค่ะ ขยะล้นถังขยะตรง ลานจอดรถหน้ามอ เหม็นมาก ไม่มีใครมาเก็บ เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.85,หมวดภูมิทัศน์และความสะอาด
305,รบกวนเจ้าหน้าที่ครับ เข้าใช้งานระบบ UP Pass ไม่ได้ ล็อกอินแล้วเด้งออก เดือดร้อนมากค่ะ ขอบคุณค่ะ,เน็ต UP-WiFi ที่ ตึก CE ช้ามาก สัญญาณหลุดตลอดเวลา รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.29,หมวดเทคโนโลยีสารสนเทศ (ต่างประเด็น)
306,พบสุนัขจรจัดดุวิ่งไล่กวดนิสิตบริเวณ ตึก PKY ขอบคุณครับ,รบกวนเจ้าหน้าที่ครับ บริเวณทางเดินไป ลานจอดรถหน้ามอ หญ้ารกมาก ช่วยตัดหญ้าทีครับ ปล่อยไว้นานแล้ว,0,0.15,ต่างหมวดหมู่
307,ช่วยตรวจสอบหน่อยครับ รถเมล์ มพ. ไม่จอดรับนิสิตที่ป้าย ตึกวิทย์ ขอบคุณครับ,นิสิตเดือดร้อนมากค่ะ หมาจรจัดตรง ตึกสงวนเสริมศรี ดุมาก เห่าและวิ่งไล่รถมอเตอร์ไซค์ ช่วยตรวจสอบทีครับ,0,0.02,ต่างหมวดหมู่
308,นิสิตเดือดร้อนมากค่ะ ป้ายรถเมล์บริเวณ ลานจอดรถหน้ามอ ไม่มีหลังคาบังแดดบังฝน,แจ้งเรื่องครับ: จุดรอรถเมล์มอตรง ลานจอดรถหน้ามอ ฝนตกเปียกหมด ไม่มีศาลาพักคอย ช่วยตรวจสอบทีครับ,1,0.8,หมวดการเดินทางและระบบขนส่ง
309,ด่วนมาก! เข้าใช้งานระบบ UP Pass ไม่ได้ ล็อกอินแล้วเด้งออก ปล่อยไว้นานแล้ว,ด่วนมาก! แอปพลิเคชัน UP Pass เข้าไม่ได้ ขึ้น error ตลอดเวลา เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.97,หมวดเทคโนโลยีสารสนเทศ
310,ด่วนมาก! สัญญาณ WiFi UP-WiFi ที่ หอสมุด หลุดบ่อยมาก ช้ามาก ช่วยตรวจสอบทีครับ,เน็ต UP-WiFi ที่ หอสมุด ช้ามาก สัญญาณหลุดตลอดเวลา เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.8,หมวดเทคโนโลยีสารสนเทศ
311,ช่วยประสานงานทีครับ เกิดอุบัติเหตุรถเฉี่ยวชนกันตรงทางแยก ตึก ICT รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ขอร้องเรียนค่ะ ไฟเพดานห้อง 1201 หอพักนิสิต UP DORM ดับ มองกระดานไม่เห็น เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.19,ต่างหมวดหมู่
312,ช่วยตรวจสอบหน่อยครับ พบสุนัขจรจัดดุวิ่งไล่กวดนิสิตบริเวณ ตึกวิทย์ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,แอดมินครับ หมาจรจัดตรง อาคารคณะวิทย์ ดุมาก เห่าและวิ่งไล่รถมอเตอร์ไซค์ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.83,หมวดความปลอดภัยและจราจร
313,หมวกกันน็อคหายที่ลานจอดรถ ตึกคณะบริหาร ขอบคุณครับ,ด่วนมาก! หมาจรจัดตรง ตึก CE ดุมาก เห่าและวิ่งไล่รถมอเตอร์ไซค์,0,0.31,หมวดความปลอดภัยและจราจร (ต่างประเด็น)
314,อินเทอร์เน็ตที่ ตึกคณะบริหาร ใช้งานไม่ได้เลย สัญญาณกากบาท ช่วยตรวจสอบทีครับ,แอดมินครับ ตึก PKY ห้อง 2201 ปลั๊กไฟระเบิด เสียบชาร์จไม่ได้ ขอบคุณครับ,0,0.09,ต่างหมวดหมู่
315,แอดมินครับ ห้องน้ำชั้น 4 ตึก PKY น้ำไม่ไหล ชักโครกกดไม่ลง เป็นแบบนี้มาหลายวันแล้วครับ,แอดมินครับ ลูกบิดประตูห้องน้ำ ตึกวิทย์ หลุด ล็อคไม่ได้ช่วยซ่อมที เป็นแบบนี้มาหลายวันแล้วครับ,0,0.2,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
316,นิสิตเดือดร้อนมากค่ะ สัญญาณ WiFi UP-WiFi ที่ ตึก CE หลุดบ่อยมาก ช้ามาก ขอบคุณครับ,ขอร้องเรียนค่ะ เน็ตตึก ลานจอดรถหน้ามอ ดับทั้งตึก เชื่อมต่อสัญญาณไม่ได้ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.22,หมวดเทคโนโลยีสารสนเทศ (ต่างประเด็น)
317,แอดมินครับ กิ่งไม้ขนาดใหญ่หักหล่นขวางถนนตรง ตึกคณะบริหาร ขอบคุณครับ,ช่วยประสานงานทีครับ ตารางเรียนชนกันครับ เข้าระบบแล้วเลือกเวลาทับซ้อนกัน ปล่อยไว้นานแล้ว,0,0.15,ต่างหมวดหมู่
318,ช่วยตรวจสอบหน่อยครับ หลอดไฟในห้องเรียน 1101 ตึก CE ขาด มืดมาก ขอบคุณครับ,รบกวนเจ้าหน้าที่ครับ หอสมุด ห้อง 2201 ปลั๊กไฟระเบิด เสียบชาร์จไม่ได้ ช่วยตรวจสอบทีครับ,0,0.23,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
319,รบกวนเจ้าหน้าที่ครับ ถังขยะบริเวณ ตึกสงวนเสริมศรี ล้น ส่งกลิ่นเหม็นรบกวน,ด่วนมาก! เข้าอีเมลมหาวิทยาลัยไม่ได้ จำรหัสผ่านไม่ได้ครับ เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.14,ต่างหมวดหมู่
320,ช่วยตรวจสอบหน่อยครับ อินเทอร์เน็ตที่ ลานจอดรถหน้ามอ ใช้งานไม่ได้เลย สัญญาณกากบาท ขอบคุณครับ,ช่วยตรวจสอบหน่อยครับ เน็ตตึก ป้ายรถเมล์หน้ามอ ดับทั้งตึก เชื่อมต่อสัญญาณไม่ได้ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.83,หมวดเทคโนโลยีสารสนเทศ
321,รบกวนเจ้าหน้าที่ครับ เกิดอุบัติเหตุรถเฉี่ยวชนกันตรงทางแยก ตึกวิทย์ ขอบคุณครับ,นิสิตเดือดร้อนมากค่ะ รถมอเตอร์ไซค์ชนกันบริเวณ คณะวิทยาศาสตร์ มีผู้ได้รับบาดเจ็บ เป็นแบบนี้มาหลายวันแล้วครับ,1,0.96,หมวดความปลอดภัยและจราจร
322,แจ้งเรื่องครับ: มีรถจอดซ้อนคันขวางทางออกตรง ลานจอดรถหน้ามอ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,นิสิตเดือดร้อนมากค่ะ รถยนต์จอดขวางทางเลี้ยวบริเวณ ลานจอดรถหน้ามอ ขับผ่านไม่ได้เลย,1,0.8,หมวดความปลอดภัยและจราจร
323,ช่วยประสานงานทีครับ ตารางสอบปลายภาคชนกันในวันเดียวกันสองวิชา รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,รบกวนเจ้าหน้าที่ครับ วันสอบปลายภาคเวลาตรงกันสองรายวิชา ขอสอบชดเชยได้ไหม เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.83,หมวดการเรียนการสอนและวิชาการ
324,ขอร้องเรียนค่ะ เข้าใช้งานระบบ UP Pass ไม่ได้ ล็อกอินแล้วเด้งออก ขอบคุณครับ,ด่วนมาก! รถมอเตอร์ไซค์ชนกันบริเวณ ตึกคณะบริหาร มีผู้ได้รับบาดเจ็บ เป็นแบบนี้มาหลายวันแล้วครับ,0,0.15,ต่างหมวดหมู่
325,ช่วยประสานงานทีครับ ลิฟต์ ตึก ICT ประตูค้าง เปิดไม่ออก ขอบคุณครับ,รบกวนเจ้าหน้าที่ครับ อ่างล้างหน้า ตึกวิทย์ ท่อน้ำแตก น้ำนองเต็มพื้น เป็นแบบนี้มาหลายวันแล้วครับ,0,0.36,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
326,ช่วยประสานงานทีครับ รถเมล์ มพ. ไม่จอดรับนิสิตที่ป้าย ตึกคณะบริหาร,ช่วยประสานงานทีครับ แอปพลิเคชัน UP Pass เข้าไม่ได้ ขึ้น error ตลอดเวลา ขอบคุณครับ,0,0.17,ต่างหมวดหมู่
327,ช่วยตรวจสอบหน่อยครับ ลิฟต์ ตึกคณะนิติศาสตร์ ประตูค้าง เปิดไม่ออก ช่วยตรวจสอบทีครับ,นิสิตเดือดร้อนมากค่ะ ชั่วโมงกิจกรรมสะสมไม่ขึ้นในระบบ UP Pass ติดต่อใคร ช่วยตรวจสอบทีครับ,0,0.06,ต่างหมวดหมู่
328,ลืมรหัสผ่าน UP Mail ขอยื่นรีเซ็ตรหัสผ่านเมลองค์กร ปล่อยไว้นานแล้ว,เข้าอีเมลมหาวิทยาลัยไม่ได้ จำรหัสผ่านไม่ได้ครับ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.84,หมวดเทคโนโลยีสารสนเทศ
329,นิสิตเดือดร้อนมากค่ะ ก๊อกน้ำอ่างล้างมือ ตึกคณะบริหาร หัก น้ำพุ่งกระเด็น เป็นแบบนี้มาหลายวันแล้วครับ,ช่วยตรวจสอบหน่อยครับ รถยนต์จอดขวางทางเลี้ยวบริเวณ หอสมุด ขับผ่านไม่ได้เลย ช่วยตรวจสอบทีครับ,0,0.15,ต่างหมวดหมู่
330,ขอร้องเรียนค่ะ ขอใบรับรองสถานภาพนิสิตภาษาอังกฤษ ใช้เวลากี่วันได้ ปล่อยไว้นานแล้ว,ด่วนมาก! เน็ตตึก ตึก PKY ดับทั้งตึก เชื่อมต่อสัญญาณไม่ได้ เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.16,ต่างหมวดหมู่
331,ช่วยประสานงานทีครับ คนขับรถเมล์ มพ. สาย 3 ขับเร็วและหวาดเสียวมาก ปล่อยไว้นานแล้ว,ช่วยตรวจสอบหน่อยครับ นิสิตต่อคิวรอรถเมล์ตรง หอสมุด ยาวล้นออกมานอกฟุตบาท,0,0.3,หมวดการเดินทางและระบบขนส่ง (ต่างประเด็น)
332,ช่วยตรวจสอบหน่อยครับ ขอนับชั่วโมงกิจกรรมจิตอาสา กดยื่นในระบบแล้วยังไม่อนุมัติ ขอบคุณครับ,แจ้งเรื่องครับ: ชั่วโมงกิจกรรมสะสมไม่ขึ้นในระบบ UP Pass ติดต่อใคร ช่วยตรวจสอบทีครับ,1,0.92,หมวดบริการทั่วไป / อื่นๆ
333,แจ้งเรื่องครับ: สัญญาณ WiFi UP-WiFi ที่ ตึกวิทย์ หลุดบ่อยมาก ช้ามาก,แจ้งเรื่องครับ: เน็ต UP-WiFi ที่ อาคารคณะวิทย์ ช้ามาก สัญญาณหลุดตลอดเวลา ปล่อยไว้นานแล้ว,1,0.91,หมวดเทคโนโลยีสารสนเทศ
334,แจ้งเรื่องครับ: พบสุนัขจรจัดดุวิ่งไล่กวดนิสิตบริเวณ ตึก ICT เป็นแบบนี้มาหลายวันแล้วครับ,ช่วยประสานงานทีครับ หมาจรจัดตรง ตึก ICT ดุมาก เห่าและวิ่งไล่รถมอเตอร์ไซค์ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.85,หมวดความปลอดภัยและจราจร
335,รบกวนเจ้าหน้าที่ครับ แอร์ห้อง PKY02 ลานจอดรถหน้ามอ เสีย ไม่เย็นเลย ร้อนมาก,ด่วนมาก! ไฟเพดานห้อง 1101 ตึกคณะบริหาร ดับ มองกระดานไม่เห็น เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.38,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
336,หญ้าขึ้นสูงรกมากข้างทางเดินไป ตึกคณะนิติศาสตร์ กลัวงู ช่วยตรวจสอบทีครับ,นิสิตเดือดร้อนมากค่ะ บริเวณทางเดินไป ตึกนิติ หญ้ารกมาก ช่วยตัดหญ้าทีครับ ปล่อยไว้นานแล้ว,1,0.92,หมวดภูมิทัศน์และความสะอาด
337,ช่วยตรวจสอบหน่อยครับ ตารางเรียนวิชาบังคับชนกันสองวิชา แก้ไขยังไงได้บ้าง เป็นแบบนี้มาหลายวันแล้วครับ,รบกวนเจ้าหน้าที่ครับ วันสอบปลายภาคเวลาตรงกันสองรายวิชา ขอสอบชดเชยได้ไหม รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.42,หมวดการเรียนการสอนและวิชาการ (ต่างประเด็น)
338,ด่วนมาก! กล้องวงจรปิดบริเวณ ตึกคณะนิติศาสตร์ ดับ เสียมาหลายวัน เดือดร้อนมากค่ะ ขอบคุณค่ะ,ขอร้องเรียนค่ะ ตารางเรียนชนกันครับ เข้าระบบแล้วเลือกเวลาทับซ้อนกัน เป็นแบบนี้มาหลายวันแล้วครับ,0,0.04,ต่างหมวดหมู่
339,แอดมินครับ หมวกกันน็อคหายที่ลานจอดรถ ลานจอดรถหน้ามอ เดือดร้อนมากค่ะ ขอบคุณค่ะ,ช่วยประสานงานทีครับ รถมอเตอร์ไซค์ชนกันบริเวณ หอสมุด มีผู้ได้รับบาดเจ็บ ช่วยตรวจสอบทีครับ,0,0.28,หมวดความปลอดภัยและจราจร (ต่างประเด็น)
340,รบกวนเจ้าหน้าที่ครับ ห้องน้ำหญิง ตึก ICT สกปรกมาก ไม่มีแม่บ้านดูแล,แอดมินครับ อาคาร ICT ห้องน้ำสกปรก พื้นแฉะและส่งกลิ่นเหม็น,1,0.96,หมวดภูมิทัศน์และความสะอาด
341,ช่วยประสานงานทีครับ คิวต่อแถวรอรถเมล์มอที่ ตึก CE แน่นมาก รถมีไม่เพียงพอ ปล่อยไว้นานแล้ว,แจ้งเรื่องครับ: นิสิตต่อคิวรอรถเมล์ตรง ตึก CE ยาวล้นออกมานอกฟุตบาท รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.82,หมวดการเดินทางและระบบขนส่ง
342,แอดมินครับ แอร์ห้อง CE01 ตึกคณะบริหาร เสีย ไม่เย็นเลย ร้อนมาก ขอบคุณครับ,แจ้งเรื่องครับ: ห้อง CE01 ตึกบิสิเนส แอร์พัง มีแต่ลมร้อน นั่งเรียนไม่ได้ ปล่อยไว้นานแล้ว,1,0.82,หมวดอาคารและสิ่งอำนวยความสะดวก
343,แจ้งเรื่องครับ: แอร์ห้อง 1305 ตึกวิทย์ เสีย ไม่เย็นเลย ร้อนมาก รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,นิสิตเดือดร้อนมากค่ะ ห้อง 1305 ตึกวิทย์ แอร์พัง มีแต่ลมร้อน นั่งเรียนไม่ได้,1,0.84,หมวดอาคารและสิ่งอำนวยความสะดวก
344,นิสิตเดือดร้อนมากค่ะ พบสุนัขจรจัดดุวิ่งไล่กวดนิสิตบริเวณ ตึก CE ขอบคุณครับ,แอดมินครับ หมาจรจัดตรง อาคารเรียนรวม ดุมาก เห่าและวิ่งไล่รถมอเตอร์ไซค์ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.89,หมวดความปลอดภัยและจราจร
345,รบกวนเจ้าหน้าที่ครับ ขอเปิดเซคชั่นเพิ่มวิชาศึกษาทั่วไป นิสิตยังลงไม่ครบ เดือดร้อนมากค่ะ ขอบคุณค่ะ,นิสิตเดือดร้อนมากค่ะ รถเมล์มอสาย มอ ขับปาดซ้ายปาดขวา เบรกแรง กลัวอันตราย ปล่อยไว้นานแล้ว,0,0.12,ต่างหมวดหมู่
346,ด่วนมาก! ห้องน้ำชั้น 1 ตึกคณะนิติศาสตร์ น้ำไม่ไหล ชักโครกกดไม่ลง ขอบคุณครับ,ช่วยประสานงานทีครับ ตึกนิติ ชั้น 1 ห้องน้ำน้ำหยุดไหล สกปรกมาก เป็นแบบนี้มาหลายวันแล้วครับ,1,0.81,หมวดอาคารและสิ่งอำนวยความสะดวก
347,ขอร้องเรียนค่ะ คนขับรถเมล์ มพ. สาย มอ ขับเร็วและหวาดเสียวมาก,รบกวนเจ้าหน้าที่ครับ จุดรอรถเมล์มอตรง ตึกคณะนิติศาสตร์ ฝนตกเปียกหมด ไม่มีศาลาพักคอย รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.29,หมวดการเดินทางและระบบขนส่ง (ต่างประเด็น)
348,นิสิตเดือดร้อนมากค่ะ ขอใบรับรองสถานภาพนิสิตภาษาอังกฤษ ใช้เวลากี่วันได้ ปล่อยไว้นานแล้ว,ยื่นขอหนังสือรับรองการเป็นนิสิตผ่านช่องทางออนไลน์ยังไง ช่วยตรวจสอบทีครับ,1,0.93,หมวดบริการทั่วไป / อื่นๆ
349,ไฟกิ่งส่องสว่างทางเดินไป ตึกคณะบริหาร ดับ มืดและเปลี่ยวมาก ขอบคุณครับ,แอดมินครับ รถยนต์จอดขวางทางเลี้ยวบริเวณ ตึกคณะนิติศาสตร์ ขับผ่านไม่ได้เลย เดือดร้อนมากค่ะ ขอบคุณค่ะ,0,0.33,หมวดความปลอดภัยและจราจร (ต่างประเด็น)
350,ด่วนมาก! ถังขยะบริเวณ ตึกคณะนิติศาสตร์ ล้น ส่งกลิ่นเหม็นรบกวน เป็นแบบนี้มาหลายวันแล้วครับ,แจ้งเรื่องครับ: บริเวณทางเดินไป ตึกวิทย์ หญ้ารกมาก ช่วยตัดหญ้าทีครับ,0,0.4,หมวดภูมิทัศน์และความสะอาด (ต่างประเด็น)
351,แอดมินครับ บัตรนิสิตหาย ต้องการทำบัตรใหม่ต้องเตรียมอะไรบ้าง ช่วยตรวจสอบทีครับ,แอดมินครับ เข้าอีเมลมหาวิทยาลัยไม่ได้ จำรหัสผ่านไม่ได้ครับ ช่วยตรวจสอบทีครับ,0,0.03,ต่างหมวดหมู่
352,รบกวนเจ้าหน้าที่ครับ ปลั๊กไฟห้อง CE01 ตึก PKY ช็อต มีควันขึ้น รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ช่วยตรวจสอบหน่อยครับ อ่างล้างหน้า ตึก ICT ท่อน้ำแตก น้ำนองเต็มพื้น ปล่อยไว้นานแล้ว,0,0.36,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
353,ช่วยตรวจสอบหน่อยครับ ปลั๊กไฟห้อง 2101 หอพักนิสิต UP DORM ช็อต มีควันขึ้น เดือดร้อนมากค่ะ ขอบคุณค่ะ,ด่วนมาก! เว็บ reg.up.ac.th ล่ม กดเลือกวิชาไม่ได้เลยครับ เป็นแบบนี้มาหลายวันแล้วครับ,0,0.14,ต่างหมวดหมู่
354,ช่วยตรวจสอบหน่อยครับ ระบบบันทึกเกรดมีปัญหา เกรดยังไม่ออกสักวิชา รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ประกาศเกรดยังไม่ขึ้นในระบบเลยครับ ติดต่อฝ่ายทะเบียนไม่ได้ ช่วยตรวจสอบทีครับ,1,0.96,หมวดการเรียนการสอนและวิชาการ
355,ตารางเรียนวิชาบังคับชนกันสองวิชา แก้ไขยังไงได้บ้าง ขอบคุณครับ,ช่วยตรวจสอบหน่อยครับ ประกาศเกรดยังไม่ขึ้นในระบบเลยครับ ติดต่อฝ่ายทะเบียนไม่ได้ เป็นแบบนี้มาหลายวันแล้วครับ,0,0.31,หมวดการเรียนการสอนและวิชาการ (ต่างประเด็น)
