text,category_names,cat_1_building,cat_2_network_it,cat_3_academic,cat_4_landscape,cat_5_safety_traffic,cat_6_general_service,cat_7_transportation,cat_8_food_hygiene
สุขอนามัยร้านน้ำและตู้กดน้ำดื่ม หอใน มพ. มีตะไคร่น้ำและคราบสกปรกเกาะ ไม่มีการล้างทำความสะอาด,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
สัญญาณอินเทอร์เน็ต UP-WiFi คณะเกษตรศาสตร์ หลุดบ่อยมาก เชื่อมต่อไม่ได้เลยตั้งแต่ช่วงบ่าย,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
ลืมกระเป๋าสตางค์และ iPad ไว้ที่ สนามกีฬาในร่ม ขอดูกล้องวงจรปิดย้อนหลังเพื่อติดตามทรัพย์สินสูญหาย,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
มีบุคคลภายนอกน่าสงสัยเดินวนเวียน ลานจอดรถตึก PKY ท่าทางไม่น่าไว้วางใจ อยากให้ รปภ. ช่วยตรวจสอบ,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
ระบบอีเมลมหาวิทยาลัยและ Office 365 ล็อกอินไม่ได้ แจ้งเตือนรหัสผ่านหมดอายุ เข้าใช้งานไม่ได้,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
ร้านอาหารที่ ทางเดิน Skywalk ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
ระบบอีเมลมหาวิทยาลัยและ Office 365 ล็อกอินไม่ได้ แจ้งเตือนรหัสผ่านหมดอายุ เข้าใช้งานไม่ได้,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
ร้านอาหารที่ ประตู 1 ม.พะเยา ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
โรงอาหารบริเวณ คณะเกษตรศาสตร์ มีถังขยะเศษอาหารเน่าล้น ส่งกลิ่นเหม็นคลุ้งและพบแมลงสาบไต่บนโต๊ะทานข้าว ไม่ถูกสุขอนามัย,"ภูมิทัศน์และความสะอาด, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,1,0,0,0,1
คนขับรถชัตเติลบัส มพ. สาย 1 (สีม่วง) ขับเร็วและเบรกกระชาก ขับขี่อันตรายมาก ผู้โดยสารยืนทรงตัวไม่อยู่,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ คณะวิทยาศาสตร์ พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
การขอใช้พื้นที่จัดกิจกรรมชมรมและโครงการนิสิต คณะแพทยศาสตร์ ยื่นหนังสือขออนุมัติสถานที่ล่วงหน้า ต้องติดต่อหน่วยงานใด,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
รถบัส มพ. ไม่ยอมจอดรับผู้โดยสารที่ป้าย ลานจอดรถตึก PKY รถว่างแต่ขับผ่านเลยไป ไม่จอดรับคนที่รอ,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
ระบบ LMS / D-Learning ม.พะเยา หน้าเว็บค้าง ส่งงานการบ้านและควิซออนไลน์ไม่ทัน,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ คณะเภสัชศาสตร์ พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
ร้านอาหารที่ อาคารเรียนรวม CE ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
ลืมกระเป๋าสตางค์และ iPad ไว้ที่ คณะบริหารธุรกิจและนิเทศศาสตร์ ขอดูกล้องวงจรปิดย้อนหลังเพื่อติดตามทรัพย์สินสูญหาย,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
ระบบอีเมลมหาวิทยาลัยและ Office 365 ล็อกอินไม่ได้ แจ้งเตือนรหัสผ่านหมดอายุ เข้าใช้งานไม่ได้,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
การประกาศคะแนนสอบกลางภาควิชา LAW101 คะแนนในระบบไม่ตรงกับที่อาจารย์แจ้ง ขอตรวจสอบความถูกต้อง,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
หญ้ารกสูงมากบริเวณ คณะบริหารธุรกิจและนิเทศศาสตร์ มีสัตว์มีพิษและงูเลื้อยออกมา อันตรายต่อนิสิตที่เดินผ่าน,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
ลิฟต์โดยสาร อาคารเทคโนโลยีสารสนเทศ ค้างที่ชั้น {floor} ประตูปิดไม่สนิท มีเสียงดังน่ากลัว,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
การขอใช้พื้นที่จัดกิจกรรมชมรมและโครงการนิสิต ประตู 3 ฝั่งเกษตร ยื่นหนังสือขออนุมัติสถานที่ล่วงหน้า ต้องติดต่อหน่วยงานใด,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
ระบบอีเมลมหาวิทยาลัยและ Office 365 ล็อกอินไม่ได้ แจ้งเตือนรหัสผ่านหมดอายุ เข้าใช้งานไม่ได้,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
พัดลมเพดานและปลั๊กไฟห้อง 4301 คณะแพทยศาสตร์ ปลั๊กไฟช็อตมีกลิ่นไหม้ พัดลมหมุนช้ามาก,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
พัดลมเพดานและปลั๊กไฟห้อง 4204 อ่างหลวง ม.พะเยา ปลั๊กไฟช็อตมีกลิ่นไหม้ พัดลมหมุนช้ามาก,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
กิ่งไม้ขนาดใหญ่หักโค่น กองพัฒนานิสิต DSA พาดขวางถนนและทางเท้าหลังพายุฝนตก รถสัญจรลำบาก,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
ช้อนส้อมและจานชามที่ อาคารเทคโนโลยีสารสนเทศ ล้างไม่สะอาด มีคราบมันและเศษอาหารติดอยู่ อยากให้ตรวจเข้มงวด,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
ห้องปฏิบัติการคอมพิวเตอร์ห้อง 2204 คณะเกษตรศาสตร์ ระบบไฟฟ้าขัดข้อง แอร์ดับ และสัญญาณอินเทอร์เน็ต WiFi ใช้งานไม่ได้พร้อมกัน,"อาคารและสิ่งอำนวยความสะดวก, ระบบเครือข่ายและเทคโนโลยี",1,1,0,0,0,0,0,0
การยื่นคำร้องขอเทียบโอนหน่วยกิตรายวิชา เอกสารตกค้างที่คณะ ขอให้เจ้าหน้าที่ช่วยติดตามผล,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
คราบโคลนและเศษดินหลังฝนตกหนัก ป้ายหอใน ลื่นมาก ถนนเฉอะแฉะ เสี่ยงเกิดอุบัติเหตุลื่นล้ม,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
ป้ายรอรถเมล์ กองพัฒนานิสิต DSA หลังคารั่ว ฝนตกแล้วน้ำรั่วลงมา เปียกทั้งที่นั่ง รอรถลำบากมาก,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
ร้านอาหารที่ คณะเกษตรศาสตร์ ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
ท่อน้ำทิ้งและหลังคาบริเวณ ตึก EN คณะวิศวกรรมศาสตร์ แตกชำรุด น้ำสกปรกเอ่อล้นพัดพาขยะเกลื่อนพื้น ส่งกลิ่นเหม็นทั่วทางเดิน,"อาคารและสิ่งอำนวยความสะดวก, ภูมิทัศน์และความสะอาด",1,0,0,1,0,0,0,0
รถจักรยานยนต์ขับเร็วและย้อนศรบริเวณ คณะเภสัชศาสตร์ ขับขี่อันตรายมาก เกือบชนนิสิตข้ามทางม้าลายหลายครั้ง,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
ห้องปฏิบัติการคอมพิวเตอร์ห้อง 1104 อาคารเทคโนโลยีสารสนเทศ ระบบไฟฟ้าขัดข้อง แอร์ดับ และสัญญาณอินเทอร์เน็ต WiFi ใช้งานไม่ได้พร้อมกัน,"อาคารและสิ่งอำนวยความสะดวก, ระบบเครือข่ายและเทคโนโลยี",1,1,0,0,0,0,0,0
กลอนประตูล็อคห้องน้ำ โรงอาหารตึกสงวนเสริมศรี พังหัก ล็อคประตูไม่อยู่ ปิดไม่ได้,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
คนขับรถชัตเติลบัส มพ. สาย 4 (สีน้ำเงิน) ขับเร็วและเบรกกระชาก ขับขี่อันตรายมาก ผู้โดยสารยืนทรงตัวไม่อยู่,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
รถเมล์สาย 1 ขับเร็วเฉี่ยวชนสุนัขจรจัดเสียชีวิตบริเวณ ประตู 3 ฝั่งเกษตร เศษซากสัตว์และคราบเลือดขวางถนน อันตรายและส่งกลิ่นเหม็นมาก,"ภูมิทัศน์และความสะอาด, ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,1,1,0,1,0
ร้านอาหารที่ โรงอาหารกลาง อาหารไม่สะอาด พบแมลงสาบตัวเล็กและเส้นผมปนเปื้อนในจานข้าว,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
ร้านอาหารที่ คณะศิลปศาสตร์ อาหารไม่สะอาด พบแมลงสาบตัวเล็กและเส้นผมปนเปื้อนในจานข้าว,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
โรงอาหารบริเวณ หอพักลุมพินี มีถังขยะเศษอาหารเน่าล้น ส่งกลิ่นเหม็นคลุ้งและพบแมลงสาบไต่บนโต๊ะทานข้าว ไม่ถูกสุขอนามัย,"ภูมิทัศน์และความสะอาด, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,1,0,0,0,1
การยื่นคำร้องขอเทียบโอนหน่วยกิตรายวิชา เอกสารตกค้างที่คณะ ขอให้เจ้าหน้าที่ช่วยติดตามผล,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
การขอใช้พื้นที่จัดกิจกรรมชมรมและโครงการนิสิต ทางเดิน Skywalk ยื่นหนังสือขออนุมัติสถานที่ล่วงหน้า ต้องติดต่อหน่วยงานใด,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
ลืมกระเป๋าสตางค์และ iPad ไว้ที่ ตึก CE ขอดูกล้องวงจรปิดย้อนหลังเพื่อติดตามทรัพย์สินสูญหาย,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
หญ้ารกสูงมากบริเวณ อาคาร PKY สงวนเสริมศรี มีสัตว์มีพิษและงูเลื้อยออกมา อันตรายต่อนิสิตที่เดินผ่าน,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
การทำเรื่องขอผ่อนผันและดรอปรายวิชา (Withdraw) อาจารย์ประจำวิชาไม่อนุมัติในระบบ ต้องการสอบถามขั้นตอนที่ถูกต้อง,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
คนขับรถชัตเติลบัส มพ. สาย 4 (สีน้ำเงิน) ขับเร็วและเบรกกระชาก ขับขี่อันตรายมาก ผู้โดยสารยืนทรงตัวไม่อยู่,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
การประกาศคะแนนสอบกลางภาควิชา 001101 คะแนนในระบบไม่ตรงกับที่อาจารย์แจ้ง ขอตรวจสอบความถูกต้อง,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
ระบบเว็บลงทะเบียนเรียน REG UP เข้าใช้งานไม่ได้ ขึ้น 504 Gateway Timeout ช่วงเปิดจองวิชาศึกษาทั่วไป,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
อาหารที่ซื้อจากร้านข้าว ตึก ICT บูดเสียและมีกลิ่นเปรี้ยว กินเข้าไปแล้วท้องเสีย อาหารไม่สดใหม่,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
เศษกระจกและขยะแก้วแตกเกลื่อนบนพื้น คณะนิติศาสตร์ อันตรายมาก กลัวบาดเท้านิสิตและยางรถมอเตอร์ไซค์รั่ว,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
รถบัส มพ. ไม่ยอมจอดรับผู้โดยสารที่ป้าย วิทยาลัยการศึกษา รถว่างแต่ขับผ่านเลยไป ไม่จอดรับคนที่รอ,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
ท่อน้ำทิ้งและหลังคาบริเวณ คณะเกษตรศาสตร์ แตกชำรุด น้ำสกปรกเอ่อล้นพัดพาขยะเกลื่อนพื้น ส่งกลิ่นเหม็นทั่วทางเดิน,"อาคารและสิ่งอำนวยความสะดวก, ภูมิทัศน์และความสะอาด",1,0,0,1,0,0,0,0
ระบบเว็บลงทะเบียนเรียน REG UP เข้าใช้งานไม่ได้ ขึ้น 504 Gateway Timeout ช่วงเปิดจองวิชาศึกษาทั่วไป,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
ระบบเว็บลงทะเบียนเรียน REG UP เข้าใช้งานไม่ได้ ขึ้น 504 Gateway Timeout ช่วงเปิดจองวิชาศึกษาทั่วไป,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
ระบบ LMS / D-Learning ม.พะเยา หน้าเว็บค้าง ส่งงานการบ้านและควิซออนไลน์ไม่ทัน,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
ป้ายรอรถเมล์ คณะพยาบาลศาสตร์ หลังคารั่ว ฝนตกแล้วน้ำรั่วลงมา เปียกทั้งที่นั่ง รอรถลำบากมาก,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
เศษกระจกและขยะแก้วแตกเกลื่อนบนพื้น อ่างหลวง ม.พะเยา อันตรายมาก กลัวบาดเท้านิสิตและยางรถมอเตอร์ไซค์รั่ว,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
รถเมล์มอวิ่งไม่ตรงรอบตารางเวลา ช่วงเวลาเร่งด่วนเช้าไม่มีรถวิ่ง นิสิตไปเรียนไม่ทัน,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
อาหารที่ซื้อจากร้านข้าว คณะวิทยาศาสตร์ บูดเสียและมีกลิ่นเปรี้ยว กินเข้าไปแล้วท้องเสีย อาหารไม่สดใหม่,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
โปรเจกเตอร์และจอแสดงผลห้อง 1102 ประตู 1 ม.พะเยา เปิดไม่ติด ภาพกระพริบ ลำโพงไมค์ไม่ดัง อาจารย์สอนไม่ได้,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
ร้านอาหารที่ หอใน มพ. ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ อาคารเทคโนโลยีสารสนเทศ พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
หลอดไฟในห้องน้ำหญิง โรงอาหารกลาง ดับมืดสนิท กระพริบตลอดเวลา ใช้งานไม่ได้,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
อินเทอร์เน็ต WiFi หอพัก หอพักลุมพินี ช้ามาก ความเร็วตก หมุนไม่หยุด ทำงานวิจัยไม่ได้,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
รถเมล์สาย 1 ขับเร็วเฉี่ยวชนสุนัขจรจัดเสียชีวิตบริเวณ ประตู 3 ฝั่งเกษตร เศษซากสัตว์และคราบเลือดขวางถนน อันตรายและส่งกลิ่นเหม็นมาก,"ภูมิทัศน์และความสะอาด, ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,1,1,0,1,0
ร้านอาหารที่ อาคารเทคโนโลยีสารสนเทศ ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
คราบโคลนและเศษดินหลังฝนตกหนัก ประตู 1 ม.พะเยา ลื่นมาก ถนนเฉอะแฉะ เสี่ยงเกิดอุบัติเหตุลื่นล้ม,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
คราบโคลนและเศษดินหลังฝนตกหนัก ตึก EN คณะวิศวกรรมศาสตร์ ลื่นมาก ถนนเฉอะแฉะ เสี่ยงเกิดอุบัติเหตุลื่นล้ม,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
การทำบัตรนิสิตใหม่เนื่องจากบัตรเดิมสูญหาย ติดต่อขอออกบัตรใหม่ ต้องเตรียมหลักฐานอะไรบ้างและรับบัตรได้ที่ไหน,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
เศษกระจกและขยะแก้วแตกเกลื่อนบนพื้น อาคาร PKY สงวนเสริมศรี อันตรายมาก กลัวบาดเท้านิสิตและยางรถมอเตอร์ไซค์รั่ว,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
ร้านค้า ประตู 1 ม.พะเยา ใช้น้ำมันทอดซ้ำจนเป็นสีดำสนิท อาหารมีกลิ่นหืนมาก ส่งผลเสียต่อสุขภาพผู้บริโภค,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
รถสองแถวมอ ขับเบียดรถมอเตอร์ไซค์ของนิสิตล้มตรงทางโค้ง ทางเดิน Skywalk ทำให้การจราจรติดขัดยาวและนิสิตได้รับบาดเจ็บ,"ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,0,1,0,1,0
ถังขยะบริเวณ คณะวิทยาศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่าเกลื่อนพื้น ไม่มีเจ้าหน้าที่มาเก็บ,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
ร้านอาหารที่ กองพัฒนานิสิต DSA อาหารไม่สะอาด พบแมลงสาบตัวเล็กและเส้นผมปนเปื้อนในจานข้าว,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
ช้อนส้อมและจานชามที่ ตึก CE ล้างไม่สะอาด มีคราบมันและเศษอาหารติดอยู่ อยากให้ตรวจเข้มงวด,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
โรงอาหารบริเวณ คณะศิลปศาสตร์ มีถังขยะเศษอาหารเน่าล้น ส่งกลิ่นเหม็นคลุ้งและพบแมลงสาบไต่บนโต๊ะทานข้าว ไม่ถูกสุขอนามัย,"ภูมิทัศน์และความสะอาด, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,1,0,0,0,1
รถจักรยานยนต์ขับเร็วและย้อนศรบริเวณ ประตู 1 ม.พะเยา ขับขี่อันตรายมาก เกือบชนนิสิตข้ามทางม้าลายหลายครั้ง,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
รถบัส มพ. ไม่ยอมจอดรับผู้โดยสารที่ป้าย หอพักลุมพินี รถว่างแต่ขับผ่านเลยไป ไม่จอดรับคนที่รอ,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
โรงอาหารบริเวณ โรงอาหารตึกสงวนเสริมศรี มีถังขยะเศษอาหารเน่าล้น ส่งกลิ่นเหม็นคลุ้งและพบแมลงสาบไต่บนโต๊ะทานข้าว ไม่ถูกสุขอนามัย,"ภูมิทัศน์และความสะอาด, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,1,0,0,0,1
รถสองแถวมอ ขับเร็วเฉี่ยวชนสุนัขจรจัดเสียชีวิตบริเวณ ทางเดิน Skywalk เศษซากสัตว์และคราบเลือดขวางถนน อันตรายและส่งกลิ่นเหม็นมาก,"ภูมิทัศน์และความสะอาด, ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,1,1,0,1,0
ไฟส่องสว่างทางเดิน คณะนิติศาสตร์ ดับมืดสนิท ทางเปลี่ยวมาก เสี่ยงต่อการเกิดอาชญากรรมและชิงทรัพย์,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
ร้านอาหารที่ อาคารเรียนรวม CE ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
รถจักรยานยนต์ขับเร็วและย้อนศรบริเวณ ลานจอดรถตึก PKY ขับขี่อันตรายมาก เกือบชนนิสิตข้ามทางม้าลายหลายครั้ง,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
ห้องปฏิบัติการคอมพิวเตอร์ห้อง 1304 คณะศิลปศาสตร์ ระบบไฟฟ้าขัดข้อง แอร์ดับ และสัญญาณอินเทอร์เน็ต WiFi ใช้งานไม่ได้พร้อมกัน,"อาคารและสิ่งอำนวยความสะดวก, ระบบเครือข่ายและเทคโนโลยี",1,1,0,0,0,0,0,0
อินเทอร์เน็ต WiFi หอพัก อาคาร PKY สงวนเสริมศรี ช้ามาก ความเร็วตก หมุนไม่หยุด ทำงานวิจัยไม่ได้,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
สวัสดิการประกันอุบัติเหตุสำหรับนิสิต ประสบอุบัติเหตุเข้ารับการรักษาที่โรงพยาบาล ต้องการทำเรื่องเบิกเคลมประกัน,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
ท่อน้ำทิ้งและหลังคาบริเวณ วิทยาลัยการศึกษา แตกชำรุด น้ำสกปรกเอ่อล้นพัดพาขยะเกลื่อนพื้น ส่งกลิ่นเหม็นทั่วทางเดิน,"อาคารและสิ่งอำนวยความสะดวก, ภูมิทัศน์และความสะอาด",1,0,0,1,0,0,0,0
การขอเปิดรายวิชาเพิ่มเติมสำหรับนิสิตชั้นปีที่ 1 วิชาเอกเต็ม ต้องการขอขยายจำนวนรับเพิ่มเพื่อไม่ให้จบช้า,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
รถบัส มพ. ไม่ยอมจอดรับผู้โดยสารที่ป้าย คณะบริหารธุรกิจและนิเทศศาสตร์ รถว่างแต่ขับผ่านเลยไป ไม่จอดรับคนที่รอ,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
สวัสดิการประกันอุบัติเหตุสำหรับนิสิต ประสบอุบัติเหตุเข้ารับการรักษาที่โรงพยาบาล ต้องการทำเรื่องเบิกเคลมประกัน,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
ร้านอาหารที่ คณะแพทยศาสตร์ ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
รถเมล์มอวิ่งไม่ตรงรอบตารางเวลา ช่วงเวลาเร่งด่วนเช้าไม่มีรถวิ่ง นิสิตไปเรียนไม่ทัน,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
การขอใช้พื้นที่จัดกิจกรรมชมรมและโครงการนิสิต คณะวิทยาศาสตร์ ยื่นหนังสือขออนุมัติสถานที่ล่วงหน้า ต้องติดต่อหน่วยงานใด,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
ร้านค้า คณะบริหารธุรกิจและนิเทศศาสตร์ ใช้น้ำมันทอดซ้ำจนเป็นสีดำสนิท อาหารมีกลิ่นหืนมาก ส่งผลเสียต่อสุขภาพผู้บริโภค,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
ร้านอาหารที่ อาคารเทคโนโลยีสารสนเทศ ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
รถบัส มพ. ไม่ยอมจอดรับผู้โดยสารที่ป้าย อ่างหลวง ม.พะเยา รถว่างแต่ขับผ่านเลยไป ไม่จอดรับคนที่รอ,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
